Dates,Open,Hign,Low,Closing
20050408,984.665,1003.699,979.529,1003.445
20050411,1003.879,1008.735,992.773,995.421
20050412,993.711,993.711,978.204,978.697
20050413,987.95,1006.499,987.95,1000.9
20050414,1004.64,1006.416,985.578,986.975
20050415,982.613,982.613,971.93,974.082
20050418,970.907,970.907,958.649,963.772
20050419,962.916,968.867,957.91,965.886
20050420,964.151,964.151,946.197,950.867
20050421,948.861,955.553,938.595,943.981
20050422,942.908,947.909,934.957,939.101
20050425,935.993,935.993,920.162,930.07
20050426,928.428,939.696,924.655,937.083
20050427,938.57,938.91,925.896,926.604
20050428,923.529,945.504,914.829,942.073
20050429,940.806,942.453,929.81,932.395
20050509,934.65,937.39,909.174,909.174
20050510,905.543,913.388,892.313,913.076
20050511,911.838,917.223,900.438,901.851
20050512,899.968,900.063,883.511,885.82
20050513,883.505,898.505,875.576,887.543
20050516,885.389,885.389,869.334,875.271
20050517,873.077,888.281,868.212,881.462
20050518,881.141,890.403,871.821,883.196
20050519,882.842,888.016,871.289,884.171
20050520,883.513,891.02,879.18,882.763
20050523,880.281,880.281,862.098,863.341
20050524,861.195,871.767,855.587,868.456
20050525,867.658,876.305,861.659,868.451
20050526,867.758,872.835,854.956,857.331
20050527,855.595,864.963,848.398,849.508
20050530,847.634,858.462,842.102,855.612
20050531,856.561,863.198,853.291,855.946
20050601,855.206,857.657,836.04,837.532
20050602,835.467,835.493,812.989,818.379
20050603,816.546,823.86,807.965,818.033
20050606,816.731,839.15,807.784,838.997
20050607,841.579,858.092,835.179,837.282
20050608,848.536,908.829,844.473,905.773
20050609,907.569,925.365,895.036,912.604
20050610,911.941,911.941,889.103,894.556
20050613,894.997,900.18,877.69,892.959
20050614,895.391,905.415,882.862,883.537
20050615,881.208,881.248,865.136,866.834
20050616,866.659,879.493,861.827,879.237
20050617,883.605,888.078,876.038,880.345
20050620,881.623,906.482,872.563,906.255
20050621,906.306,906.306,894.386,896.166
20050622,894.769,901.243,891.926,900.646
20050623,900.059,904.896,892.831,893.572
20050624,892.061,898.67,888.397,898.301
20050627,904.209,920.647,904.209,916.043
20050628,913.48,913.48,901.207,903.716
20050629,906.751,907.571,898.084,898.898
20050630,897.102,897.102,876.884,878.686
20050701,875.935,875.935,858.37,859.494
20050704,855.317,856.1,842.812,855.932
20050705,853.679,856.738,845.361,849.679
20050706,850.253,854.448,838.609,842.556
20050707,841.748,848.022,839.282,844.729
20050708,842.62,842.62,827.229,829.489
20050711,837.863,850.658,822.524,824.097
20050712,821.911,854.286,818.863,851.816
20050713,850.469,851.949,841.858,846.231
20050714,844.94,856.095,843.176,849.59
20050715,849.873,854.604,837.783,841.001
20050718,839.221,840.005,829.679,832.995
20050719,831.501,840.143,829.277,835.608
20050720,835.301,844.712,832.144,842.641
20050721,842.746,843.987,835.757,843.987
20050722,847.541,867.165,842.987,859.693
20050725,858.328,860.951,854.284,856.86
20050726,856.189,880.034,856.189,876.48
20050727,876.942,894.026,876.036,894.012
20050728,893.879,900.997,888.5,890.885
20050729,889.41,892.294,883.383,888.164
20050801,887.718,897.285,885.85,891.607
20050802,892.13,903.648,888.396,903.598
20050803,905.181,919.282,903.76,909.57
20050804,907.42,909.827,901.625,904.15
20050805,904.039,923.808,903.94,923.803
20050808,926.571,933.154,923.573,927.471
20050809,926.973,933.394,919.107,933.089
20050810,933.26,940.37,926.275,940.37
20050811,940.785,953.992,939.386,953.992
20050812,954.719,959.268,933.985,938.316
20050815,937.705,954.502,936.113,954.502
20050816,955.27,959.343,939.916,945.058
20050817,943.405,953.342,930.325,953.012
20050818,954.155,956.841,919.121,920.671
20050819,918.091,927.32,910.083,923.038
20050822,923.108,933.351,919.222,931.673
20050823,931.809,931.809,915.033,923.414
20050824,923.558,935.23,923.558,930.651
20050825,930.975,933.196,920.61,930.118
20050826,930.246,930.325,921.843,928.258
20050829,928.341,928.341,913.767,917.371
20050830,916.086,920.208,912.838,914.88
20050831,915.122,928.212,911.505,927.916
20050901,928.52,944.947,926.06,944.559
20050902,945.978,947.918,941.314,947.871
20050905,949.077,952.985,944.629,952.717
20050906,953.41,956.297,934.972,936.61
20050907,934.991,952.896,932.648,952.758
20050908,954.273,958.867,947.707,955.282
20050909,955.112,959.898,946.021,949.065
20050912,949.779,952.551,945.403,949.506
20050913,949.584,963.921,948.128,963.774
20050914,964.97,970.263,961.64,970.193
20050915,970.58,970.964,965.656,969.598
20050916,969.619,970.37,964.285,967.495
20050919,967.44,971.987,964.263,971.136
20050920,971.379,971.65,957.118,961.919
20050921,961.374,961.374,943.824,944.408
20050922,942.726,942.726,914.232,923.274
20050923,921.51,927.419,914.806,916.154
20050926,915.84,919.65,913.613,918.485
20050927,918.866,921.132,903.387,904.214
20050928,903.328,910.333,901.382,903.719
20050929,904.28,915.975,904.28,915.975
20050930,916.59,918.66,913.45,917.39
20051010,917.211,917.211,906.88,907.321
20051011,906.628,919.796,904.045,919.72
20051012,920.453,926.094,917.377,923.485
20051013,923.426,926.009,916.275,916.499
20051014,916.337,917.89,902.813,904.828
20051017,903.266,903.266,892.359,897.623
20051018,897.366,903.001,895.622,902.366
20051019,902.036,907.876,897.045,898.744
20051020,898.891,900.126,889.569,899.915
20051021,899.645,907.792,897.986,904.414
20051024,905.129,908.453,900.229,906.652
20051025,905.967,905.967,893.609,894.272
20051026,892.617,892.617,873.895,875.82
20051027,873.472,879.668,869.72,875.849
20051028,875.862,880.206,859.692,867.729
20051031,866.618,878.409,866.153,876.282
20051101,875.956,875.956,862.686,872.865
20051102,873.393,884.936,873.393,882.478
20051103,882.189,885.681,872.11,874.575
20051104,873.353,878.361,869.68,878.361
20051107,877.617,877.617,870.082,877.278
20051108,876.432,881.895,870.962,881.524
20051109,881.513,884.942,878.684,879.252
20051110,878.625,878.625,862.091,862.968
20051111,861.221,867.328,857.789,864.79
20051114,864.081,864.246,858.344,862.149
20051115,862.067,867.46,853.859,856.635
20051116,855.449,863.167,847.49,863.119
20051117,863.077,865.791,859,862.658
20051118,862.579,886.582,862.403,882.241
20051121,882.79,886.106,880.3,883.871
20051122,883.931,883.931,869.53,869.617
20051123,868.005,876.816,866.19,876.229
20051124,875.827,885.745,874.879,881.493
20051125,881.248,884.162,877.262,884.105
20051128,883.241,886.743,877.637,880.167
20051129,879.254,879.254,870.564,871.31
20051130,870.452,873.933,866.984,873.825
20051201,873.474,877.312,870.703,873.067
20051202,872.93,875.825,866.374,869.936
20051205,869.427,869.427,858.859,859.61
20051206,858.108,867.187,855.715,866.075
20051207,865.724,873.999,865.017,873.838
20051208,874.132,877.97,870.122,874.056
20051209,873.693,887.568,871.261,887.358
20051212,887.064,890.694,884.256,888.518
20051213,887.996,889.221,880.743,889.101
20051214,888.604,899.011,884.368,898.153
20051215,898.382,904.012,895.168,896.434
20051216,895.827,902.747,894.099,902.561
20051219,902.049,904.472,898.794,902.91
20051220,902.746,907.318,899.662,907.318
20051221,907.053,910.933,902.114,903.144
20051222,902.371,909.061,900.664,908.754
20051223,908.96,915.89,908.514,915.89
20051226,916.668,925.005,916.409,922.378
20051227,922.439,922.439,916.005,919.36
20051228,919.051,920.984,915.116,920.919
20051229,921.144,932.031,921.144,932.031
20051230,933.45,933.999,921.834,923.451
20060104,926.559,941.428,926.412,941.428
20060105,943.85,959.625,942.308,959.134
20060106,961.915,975.628,956.04,970.032
20060109,971.089,976.273,966.053,975.253
20060110,975.282,978.277,964.43,978.154
20060111,977.644,983.39,963.394,973.477
20060112,972.389,984.076,968.538,983.716
20060113,985.039,988.111,973.685,978.809
20060116,977.886,977.886,960.879,961.439
20060117,959.395,965.984,952.234,964.29
20060118,964.16,984.672,963.077,983.622
20060119,985.216,992.272,978.278,991.222
20060120,991.572,994.5,987.06,993.34
20060123,993.744,997.332,989.342,996.162
20060124,997.791,1006.146,993.394,999.093
20060125,998.84,1009.648,989.514,1009.597
20060206,1013.425,1033.354,1012.807,1033.234
20060207,1034.678,1038.501,1019.936,1029.937
20060208,1028.445,1033.399,1022.937,1033.072
20060209,1033.192,1033.192,1017.047,1019.599
20060210,1019.416,1032.598,1018.482,1032.337
20060213,1034.381,1034.642,1021.839,1031.614
20060214,1032.645,1038.81,1030.461,1038.531
20060215,1040.332,1048.344,1038.744,1041.66
20060216,1041.665,1041.665,1019.21,1020.121
20060217,1020.063,1028.574,1015.992,1020.368
20060220,1020.74,1030.052,1020.015,1021.639
20060221,1020.977,1038.937,1014.663,1038.816
20060222,1039.649,1046.45,1036.38,1037.885
20060223,1038.253,1041.592,1029.248,1041.373
20060224,1041.97,1049.688,1041.97,1049.444
20060227,1055.947,1057.223,1045.967,1047.845
20060228,1046.713,1053.72,1033.661,1053.01
20060301,1051.759,1057.693,1049.642,1056.619
20060302,1055.858,1056.053,1034.68,1038.666
20060303,1037.988,1043.422,1029.561,1041.677
20060306,1041.659,1044.417,1036.108,1038.873
20060307,1037.928,1037.976,1013.142,1014.973
20060308,1012.578,1014.965,999.931,1009.271
20060309,1006.965,1010.91,1002.196,1004.344
20060310,1004.747,1011.762,1004.688,1008.897
20060313,1008.803,1020.876,1008.513,1019.864
20060314,1020.468,1021.651,1012.112,1018.272
20060315,1018.154,1028.965,1017.081,1028.958
20060316,1028.96,1029.805,1025.523,1027.616
20060317,1027.637,1029.559,1021.081,1024.015
20060320,1024.502,1037.908,1019.647,1037.659
20060321,1037.949,1047.051,1036.235,1040.757
20060322,1041.138,1047.939,1036.706,1047.666
20060323,1047.349,1049.325,1042.825,1048.537
20060324,1049.122,1051.757,1041.231,1042.601
20060327,1042.629,1046.009,1037.076,1045.644
20060328,1050.068,1056.516,1048.636,1055.982
20060329,1058.738,1074.038,1057.678,1065.294
20060330,1065.843,1067.99,1055.137,1055.634
20060331,1053.854,1061.473,1050.222,1061.088
20060403,1061.962,1079.366,1061.962,1079.322
20060404,1080.857,1089.371,1076.198,1089.371
20060405,1091.175,1100.558,1089.549,1099.97
20060406,1102.543,1109.683,1097.316,1103.237
20060407,1102.944,1105.104,1091.894,1103.154
20060410,1104.321,1118.082,1100.69,1117.91
20060411,1120.163,1126.089,1112.007,1123.308
20060412,1123.782,1123.782,1116.149,1117.073
20060413,1116.837,1122.394,1093.508,1093.925
20060414,1091.689,1118.665,1091.673,1118.607
20060417,1120.186,1129.154,1114.527,1124.414
20060418,1127.506,1135.448,1119.271,1131.281
20060419,1135.614,1140.407,1125.204,1138.241
20060420,1139.642,1142.538,1127.09,1134.381
20060421,1133.205,1152.888,1127.648,1149.158
20060424,1156.908,1160.579,1135.751,1142.698
20060425,1139.495,1149.544,1123.099,1141.93
20060426,1142.902,1162.021,1142.074,1155.726
20060427,1157.379,1159.898,1145.26,1155.268
20060428,1143.587,1173.88,1133.193,1172.347
20060508,1179.581,1218.859,1179.581,1218.445
20060509,1226.315,1252.759,1222.679,1251.611
20060510,1257.984,1273.684,1243.472,1265.933
20060511,1267.219,1294.868,1254.348,1255.035
20060512,1255.234,1296.379,1252.677,1296.257
20060515,1312.137,1352.412,1301.797,1352.155
20060516,1368.134,1387.397,1322.136,1331.127
20060517,1331.686,1356.132,1306.871,1335.523
20060518,1322.652,1340.523,1301.109,1331.201
20060519,1334.069,1371.222,1329.317,1366.097
20060522,1366.316,1387.571,1360.348,1373.674
20060523,1365.1,1365.1,1316.549,1317.654
20060524,1325.683,1351.308,1277.332,1308.242
20060525,1304.695,1316.475,1285.728,1307.697
20060526,1312.236,1331.452,1309.46,1331.02
20060529,1339.896,1366.843,1330.628,1366.292
20060530,1375.298,1384.684,1360.548,1378.756
20060531,1377.449,1386.942,1355.007,1365.451
20060601,1364.178,1403.265,1362.936,1402.879
20060602,1406.617,1411.78,1382.004,1390.116
20060605,1391.461,1403.304,1362.723,1403.163
20060606,1400.267,1413.108,1391.895,1399.142
20060607,1398.184,1398.184,1319.698,1320.233
20060608,1309.07,1331.885,1286.899,1325.979
20060609,1320.813,1329.835,1293.046,1294.185
20060612,1283.827,1308.121,1275.399,1297.67
20060613,1296.408,1312.132,1284.62,1298.276
20060614,1291.69,1291.69,1269.516,1283.88
20060615,1283.721,1300.111,1280.501,1285.385
20060616,1290.003,1318.019,1290.003,1318.01
20060619,1306.263,1341.99,1294.904,1334.893
20060620,1333.619,1341.244,1323.784,1338.223
20060621,1336.842,1347.002,1320.411,1333.532
20060622,1331.926,1341.73,1326.146,1331.553
20060623,1329.106,1340.266,1319.506,1339.446
20060626,1341.609,1363.569,1341.609,1363.413
20060627,1365.043,1368.411,1354.088,1363.896
20060628,1361.792,1366.338,1353.633,1362.885
20060629,1365.252,1395.243,1365.252,1395.124
20060630,1402.595,1408.791,1384.991,1393.963
20060703,1398.736,1420.328,1393.923,1420.328
20060704,1423.078,1426.098,1401.148,1411.013
20060705,1409.901,1409.901,1377.22,1393.009
20060706,1391.638,1418.76,1390.193,1418.675
20060707,1423.718,1426.397,1405.989,1410.429
20060710,1410.496,1413.576,1397.441,1412.124
20060711,1414.136,1418.816,1406.496,1418.575
20060712,1419.073,1430.944,1416.739,1419.199
20060713,1415.875,1418.135,1344.155,1346.088
20060714,1333.743,1367.743,1327.587,1357.129
20060717,1354.137,1372.254,1348.432,1372.254
20060718,1370.896,1373.588,1359.909,1373.416
20060719,1370.287,1370.287,1330.284,1336.644
20060720,1335.412,1346.848,1329.176,1345.194
20060721,1344.601,1357.341,1344.57,1356.033
20060724,1340.279,1359.558,1327.901,1358.122
20060725,1359.323,1378.843,1359.323,1374.17
20060726,1377.784,1380.796,1367.046,1371.295
20060727,1370.749,1379.253,1347.285,1355.545
20060728,1354.919,1359.744,1327.663,1341.393
20060731,1338.039,1338.039,1293.531,1294.328
20060801,1292.709,1302.889,1278.544,1282.057
20060802,1281.889,1288.612,1258.008,1275.088
20060803,1277.632,1281.79,1261.695,1271.744
20060804,1272.362,1278.246,1239.384,1241.908
20060807,1233.488,1241.849,1221.989,1224.102
20060808,1225.04,1252.386,1225.04,1252.386
20060809,1254.374,1258.206,1245.388,1251.298
20060810,1251.163,1271.473,1251.081,1271.473
20060811,1273.266,1277.968,1265.52,1275.654
20060814,1275.139,1279.308,1241.954,1245.721
20060815,1243.16,1265.863,1239.905,1265.863
20060816,1266.821,1283.567,1262.537,1283.567
20060817,1280.284,1280.284,1263.931,1271.627
20060818,1270.225,1280.829,1265.818,1267.866
20060821,1235.426,1270.667,1229.165,1270.562
20060822,1270.103,1289.019,1269.102,1285.268
20060823,1284.817,1294.825,1282.841,1285.68
20060824,1284.835,1292.401,1274.556,1292.401
20060825,1293.502,1301.753,1292.451,1295.437
20060828,1298.464,1325.894,1298.357,1325.894
20060829,1328.611,1349.201,1327.002,1330.155
20060830,1328.37,1336.392,1319.823,1334.671
20060831,1335.588,1342.79,1331.287,1338.694
20060901,1339.309,1340.125,1314.567,1318.099
20060904,1315.707,1337.243,1315.61,1337.243
20060905,1339.59,1345.708,1334.723,1340.682
20060906,1341.403,1346.367,1331.852,1346.367
20060907,1348.174,1348.278,1323.977,1328.377
20060908,1327.555,1334.728,1326.246,1332.153
20060911,1331.89,1338.755,1319.21,1338.755
20060912,1338.815,1350.527,1337.302,1347.639
20060913,1348.849,1356.856,1337.461,1338.386
20060914,1338.35,1345.59,1323.801,1338.278
20060915,1338.409,1362.404,1338.143,1362.322
20060918,1367.645,1375.581,1362.143,1375.563
20060919,1377.716,1385.619,1371.43,1378.309
20060920,1376.118,1381.812,1365.717,1378.459
20060921,1378.456,1390.621,1378.456,1387.37
20060922,1389.867,1393.53,1373.945,1374.852
20060925,1372.808,1383.767,1361.606,1372.399
20060926,1370.856,1371.582,1351.18,1357.646
20060927,1357.275,1371.117,1355.393,1371.117
20060928,1372.134,1389.555,1369.398,1387.002
20060929,1389.075,1405.563,1389.038,1403.265
20061009,1420.362,1436.074,1418.207,1436.074
20061010,1437.689,1443.497,1426.969,1437.245
20061011,1436.681,1440.207,1421.808,1435.906
20061012,1436.198,1438.802,1423.629,1426.5
20061013,1424.301,1436.102,1420.959,1430.882
20061016,1432.306,1434.532,1415.49,1418.517
20061017,1416.949,1426.292,1410.674,1414.448
20061018,1413.906,1437.593,1413.55,1437.593
20061019,1438.842,1445.617,1433.938,1439.377
20061020,1440.668,1447.951,1436.653,1440.182
20061023,1439.54,1444.915,1403.008,1408.715
20061024,1408.578,1440.054,1408.578,1440.054
20061025,1443.108,1459.731,1434.806,1446.825
20061026,1447.088,1457.373,1435.279,1456.095
20061027,1455.978,1460.455,1433.355,1439.05
20061030,1436.66,1446.239,1428.334,1446.239
20061031,1447.055,1464.478,1447.055,1464.473
20061101,1465.667,1479.409,1461.316,1479.409
20061102,1480.551,1480.551,1464.598,1479.656
20061103,1481.582,1497.466,1480.77,1488.291
20061106,1477.44,1507.972,1472.001,1507.891
